ID,Study ID,Reference,Grouping,Victim,Perpetrator,Route Victim,Route Perpetrator,Mechanism,Compartment,AUCR Avg,AUCR AvgType,AUCR Var,AUCR VarType,CmaxR Avg,CmaxR AvgType,CmaxR Var,CmaxR VarType,t_placebo_0,t_placebo_end,t_treatment_0,t_treatment_end,t Unit,R Dose correction factor,Comment,Dose,Dose free API,Dose Unit,Route,Times of Administration,Times Unit,Description,Comment Regimen,Administered form,Formulation type,Infusion duration [min],Water volume ingested for drug intake [mL],Comment on administration/formulation,Fasted/Fed state,Duration of fasting before drug administration [h],Duration of fasting after drug administration [h],Comment on food intake
900075,Chen 2015,,DGI-PAR-Chen2015_AS1.5_vs_AS2,Paroxetine,,PO,,CYP2D6 activity score,Plasma,1.610,,,,1.100,,,,0,72.000,0,72.000,h,1,DGI ratio AS1.5 / AS2 from Rüdesheim et al. 2025 supplement Table S13. AUC tlast 72 h; Cmax tlast 48 h.,25,,mg,PO,0,h,,,,,,,,,,,
900076,Sindrup 1992,,DGI-PAR-Sindrup1992_PM_vs_NM,Paroxetine,,PO,,CYP2D6 activity score,Plasma,2.350,,,,1.550,,,,0,96.000,0,96.000,h,1,DGI ratio PM / NM from Rüdesheim et al. 2025 supplement Table S13. AUC tlast 96 h; Cmax tlast 96 h.,30,,mg,PO,0,h,,,,,,,,,,,
900077,Mürdter 2016,,DGI-PAR-Mrdter2016_AS0_vs_AS2,Paroxetine,,PO,,CYP2D6 activity score,Plasma,3.800,,,,1.570,,,,0,144.000,0,144.000,h,1,DGI ratio AS0 / AS2 from Rüdesheim et al. 2025 supplement Table S13. AUC tlast 144 h; Cmax tlast 144 h.,40,,mg,PO,0,h,,,,,,,,,,,
900078,Mürdter 2016,,DGI-PAR-Mrdter2016_AS0.5_vs_AS2,Paroxetine,,PO,,CYP2D6 activity score,Plasma,2.380,,,,1.410,,,,0,144.000,0,144.000,h,1,DGI ratio AS0.5 / AS2 from Rüdesheim et al. 2025 supplement Table S13. AUC tlast 144 h; Cmax tlast 144 h.,40,,mg,PO,0,h,,,,,,,,,,,
900079,Mürdter 2016,,DGI-PAR-Mrdter2016_AS0.75_vs_AS2,Paroxetine,,PO,,CYP2D6 activity score,Plasma,4.530,,,,1.570,,,,0,144.000,0,144.000,h,1,DGI ratio AS0.75 / AS2 from Rüdesheim et al. 2025 supplement Table S13. AUC tlast 144 h; Cmax tlast 144 h.,40,,mg,PO,0,h,,,,,,,,,,,
900080,Mürdter 2016,,DGI-PAR-Mrdter2016_AS1_vs_AS2,Paroxetine,,PO,,CYP2D6 activity score,Plasma,2.050,,,,0.990,,,,0,144.000,0,144.000,h,1,DGI ratio AS1 / AS2 from Rüdesheim et al. 2025 supplement Table S13. AUC tlast 144 h; Cmax tlast 144 h.,40,,mg,PO,0,h,,,,,,,,,,,
900081,Mürdter 2016,,DGI-PAR-Mrdter2016_AS3_vs_AS2,Paroxetine,,PO,,CYP2D6 activity score,Plasma,0.510,,,,0.680,,,,0,144.000,0,144.000,h,1,DGI ratio AS3 / AS2 from Rüdesheim et al. 2025 supplement Table S13. AUC tlast 144 h; Cmax tlast 144 h.,40,,mg,PO,0,h,,,,,,,,,,,
900082,Yoon 2000,,DGI-PAR-Yoon2000_AS0_vs_AS2,Paroxetine,,PO,,CYP2D6 activity score,Plasma,5.890,,,,4.880,,,,0,240.000,0,240.000,h,1,DGI ratio AS0 / AS2 from Rüdesheim et al. 2025 supplement Table S13. AUC tlast 240 h; Cmax tlast 48 h.,40,,mg,PO,0,h,,,,,,,,,,,
900083,Yoon 2000,,DGI-PAR-Yoon2000_AS0.5_vs_AS2,Paroxetine,,PO,,CYP2D6 activity score,Plasma,1.490,,,,1.430,,,,0,192.000,0,192.000,h,1,DGI ratio AS0.5 / AS2 from Rüdesheim et al. 2025 supplement Table S13. AUC tlast 192 h; Cmax tlast 48 h.,40,,mg,PO,0,h,,,,,,,,,,,
900084,Yoon 2000,,DGI-PAR-Yoon2000_AS1.25_vs_AS2,Paroxetine,,PO,,CYP2D6 activity score,Plasma,1.380,,,,1.380,,,,0,96.000,0,96.000,h,1,DGI ratio AS1.25 / AS2 from Rüdesheim et al. 2025 supplement Table S13. AUC tlast 96 h; Cmax tlast 24 h.,40,,mg,PO,0,h,,,,,,,,,,,
900085,Bondolfi 2002,,DGI-RIS-Bondolfi2002_PM_vs_NM,Risperidone,,PO,,CYP2D6 activity score,Plasma,6.180,,,,3.290,,,,0,24.000,0,24.000,h,1,DGI ratio PM / NM from Rüdesheim et al. 2025 supplement Table S13. AUC tlast 24 h; Cmax tlast 24 h.,2,,mg,PO,0,h,,,,,,,,,,,
